question_id;question;question_variant;organization_id;category
q001;Which organization has the most models?;What organization contains the greatest number of models?;-;general, generic
q002;Which organization has the model with the earliest creation date?;What organization has the oldest model by creation date?;-;general, generic
q003;List all organizations that have between 5 and 10 models.;Which organizations contain between 5 and 10 models?;-;general, generic
q004;How many organizations are there in the corpus?;What is the total number of organizations in the corpus?;-;general, generic
q005;Which organization has the fewest models?;What organization contains the least number of models?;-;general, generic
q006;List all organizations that have models about restaurants.;Which organizations include models related to restaurant processes?;-;general, domain-specific
q007;Which organizations have models about university admissions?;Which organizations contain models related to university application processes?;-;general, domain-specific
q008;Are there any organizations with models about car rentals?;Which organizations have models related to car rental services?;-;general, domain-specific
q009;Which organizations have models about online shopping or webshops?;List all organizations that contain models about online retail or webshop processes.;-;general, domain-specific
q010;Are there any organizations with models related to medical or healthcare processes?;Which organizations include models about healthcare or medical device processes?;-;general, domain-specific
q011;How many models are there in the organization? (Organization ID: c41660388a04449a995dccf97d894f46);What is the total number of models in this organization? (Organization ID: c41660388a04449a995dccf97d894f46);c41660388a04449a995dccf97d894f46;specific organization, generic
q012;What languages do the models in the organization use? (Organization ID: c41660388a04449a995dccf97d894f46);In what languages are the models of this organization written? (Organization ID: c41660388a04449a995dccf97d894f46);c41660388a04449a995dccf97d894f46;specific organization, generic
q013;Which models in the organization include parallel execution? (Organization ID: c41660388a04449a995dccf97d894f46);Which of the organization's models contain parallel gateways? (Organization ID: c41660388a04449a995dccf97d894f46);c41660388a04449a995dccf97d894f46;specific organization, generic
q014;Which models in the organization have tasks about invoice processing? (Organization ID: c41660388a04449a995dccf97d894f46);Which of the organization's models include tasks related to invoice handling? (Organization ID: c41660388a04449a995dccf97d894f46);c41660388a04449a995dccf97d894f46;specific organization, domain-specific
q015;Based on the models of this organization, what could be the profile of the organization? (Organization ID: c41660388a04449a995dccf97d894f46);What kind of organization could this be, based on its models? (Organization ID: c41660388a04449a995dccf97d894f46);c41660388a04449a995dccf97d894f46;specific organization, generic
q016;How many models are there in the organization? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);What is the total count of models in this organization? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);5e1278d2bfce434b95e80ab3625cdc63;specific organization, generic
q017;What is the language of the organization's models? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);In which language are the organization's models written? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);5e1278d2bfce434b95e80ab3625cdc63;specific organization, generic
q018;Which models in the organization have tasks about technical support? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);Which models in the organization include tasks related to tech support? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);5e1278d2bfce434b95e80ab3625cdc63;specific organization, domain-specific
q019;List all models of the organization that involve an 'Operater' participant! (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);Which models in the organization have 'Operatar' as a participant? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);5e1278d2bfce434b95e80ab3625cdc63;specific organization, domain-specific
q020;What is the time difference between the earliest and the latest model's creation date of this organization? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);How much time passed between the first and last model creation in this organization? (Organization ID: 5e1278d2bfce434b95e80ab3625cdc63);5e1278d2bfce434b95e80ab3625cdc63;specific organization, generic
q021;How many models are there in the organization? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);What is the total number of models belonging to this organization? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);985f88f59e8b4962a0a2c2fec001b6d1;specific organization, generic
q022;Which organization has the model 'Auktionshaus_Online'?;Which organization contains the model 'Auktionhaus_Online'?;985f88f59e8b4962a0a2c2fec001b6d1;specific organization, generic
q023;List all organizations that have the same amount of models as this organization. (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);Which organizations have a number of models equal to this organization? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);985f88f59e8b4962a0a2c2fec001b6d1;specific organization, generic
q024;Which models of the organization have tasks about purchasing goods? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);Which of the organization's models include tasks related to buying products? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);985f88f59e8b4962a0a2c2fec001b6d1;specific organization, domain-specific
q025;Which models in the organization deal with restaurant or food ordering processes? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);Which of the organization's models are about restaurant or food order processes? (Organization ID: 985f88f59e8b4962a0a2c2fec001b6d1);985f88f59e8b4962a0a2c2fec001b6d1;specific organization, domain-specific
q026;How many models are there in the organization? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);What is the total number of models in this organization? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);2dafb1f0acb24b27ae8f0dc47d14fcaa;specific organization, generic
q027;What language do the models in the organization use? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);In which language are the models of this organization written? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);2dafb1f0acb24b27ae8f0dc47d14fcaa;specific organization, generic
q028;Which models in the organization are about university application processes? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);Which of the organization's models deal with university admissions? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);2dafb1f0acb24b27ae8f0dc47d14fcaa;specific organization, domain-specific
q029;Which models in the organization include tasks where a 'Bewerber' is a participant? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);Which of the organization's models have 'Bewreber' as a participant? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);2dafb1f0acb24b27ae8f0dc47d14fcaa;specific organization, domain-specific
q030;Which models in the organization include parallel execution? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);Which of the organization's models contain parallel gateways? (Organization ID: 2dafb1f0acb24b27ae8f0dc47d14fcaa);2dafb1f0acb24b27ae8f0dc47d14fcaa;specific organization, generic
q031;How many models are there in the organization? (Organization ID: 67e70970f0404a7e87122700ad26d87b);What is the total count of models in this organization? (Organization ID: 67e70970f0404a7e87122700ad26d87b);67e70970f0404a7e87122700ad26d87b;specific organization, generic
q032;What is the language of the organization's models? (Organization ID: 67e70970f0404a7e87122700ad26d87b);In what language are the organization's models written? (Organization ID: 67e70970f0404a7e87122700ad26d87b);67e70970f0404a7e87122700ad26d87b;specific organization, generic
q033;Which models in the organization include tasks about bike rental or insurance? (Organization ID: 67e70970f0404a7e87122700ad26d87b);Which of the organization's models deal with bike rental or insurence processes? (Organization ID: 67e70970f0404a7e87122700ad26d87b);67e70970f0404a7e87122700ad26d87b;specific organization, domain-specific
q034;Based on the models of this organization, is there a sole profile of the organization? (Organization ID: 67e70970f0404a7e87122700ad26d87b);Can you determine a single organizational profile based on this organization's models? (Organization ID: 67e70970f0404a7e87122700ad26d87b);67e70970f0404a7e87122700ad26d87b;specific organization, domain-specific
q035;In which model of the organization does the 'Customer' participant appear in the most tasks? (Organization ID: 67e70970f0404a7e87122700ad26d87b);Which of the organization's models has the most tasks involving the 'Custumer' participant? (Organization ID: 67e70970f0404a7e87122700ad26d87b);67e70970f0404a7e87122700ad26d87b;specific organization, generic
